,Country Name,2017
2,Afghanistan,36.000
4,Angola,39.000
5,Albania,62.000
6,Andorra,76.000
8,United Arab Emirates,77.000
9,Argentina,74.000
10,Armenia,68.000
12,Antigua and Barbuda,72.000
13,Australia,87.000
14,Austria,81.000
15,Azerbaijan,63.000
16,Burundi,42.000
17,Belgium,85.000
18,Benin,38.000
19,Burkina Faso,41.000
20,Bangladesh,48.000
21,Bulgaria,67.000
22,Bahrain,72.000
23,"Bahamas, The",69.000
24,Bosnia and Herzegovina,65.000
25,Belarus,71.000
26,Belize,65.000
28,Bolivia,65.000
29,Brazil,75.000
30,Barbados,74.000
31,Brunei Darussalam,78.000
32,Bhutan,60.000
33,Botswana,54.000
34,Central African Republic,30.000
35,Canada,89.000
37,Switzerland,86.000
39,Chile,78.000
40,China,80.000
41,Cote d'Ivoire,45.000
42,Cameroon,43.000
43,"Congo, Dem. Rep.",37.000
44,"Congo, Rep.",39.000
45,Colombia,77.000
46,Comoros,42.000
47,Cabo Verde,68.000
48,Costa Rica,77.000
50,Cuba,81.000
53,Cyprus,79.000
54,Czech Republic,78.000
55,Germany,85.000
56,Djibouti,49.000
57,Dominica,66.000
58,Denmark,84.000
59,Dominican Republic,64.000
60,Algeria,75.000
63,East Asia & Pacific,74.605
65,Europe & Central Asia,78.084
66,Ecuador,78.000
67,"Egypt, Arab Rep.",65.000
69,Eritrea,48.000
70,Spain,85.000
71,Estonia,77.000
72,Ethiopia,37.000
75,Finland,83.000
76,Fiji,59.000
77,France,84.000
79,"Micronesia, Fed. Sts.",47.000
80,Gabon,51.000
81,United Kingdom,87.000
82,Georgia,65.000
83,Ghana,42.000
85,Guinea,35.000
86,"Gambia, The",46.000
87,Guinea-Bissau,38.000
88,Equatorial Guinea,43.000
89,Greece,77.000
90,Grenada,69.000
92,Guatemala,56.000
94,Guyana,73.000
95,High income,82.000
97,Honduras,60.000
99,Croatia,72.000
100,Haiti,46.000
101,Hungary,71.000
106,Indonesia,55.000
109,India,57.000
111,Ireland,82.000
112,"Iran, Islamic Rep.",74.000
113,Iraq,53.000
114,Iceland,86.000
115,Israel,84.000
116,Italy,82.000
117,Jamaica,69.000
118,Jordan,61.000
119,Japan,84.000
120,Kazakhstan,73.000
121,Kenya,54.000
122,Kyrgyz Republic,71.000
123,Cambodia,60.000
124,Kiribati,50.000
125,St. Kitts and Nevis,71.000
126,"Korea, Rep.",86.000
127,Kuwait,68.000
129,Lao PDR,48.000
130,Lebanon,69.000
131,Liberia,39.000
132,Libya,60.000
133,St. Lucia,70.000
134,Latin America & Caribbean,72.947
136,Low income,42.000
138,Sri Lanka,64.000
139,Lower middle income,55.000
141,Lesotho,48.000
143,Lithuania,67.000
144,Luxembourg,84.000
145,Latvia,70.000
148,Morocco,71.000
149,Monaco,84.000
150,Moldova,66.000
151,Madagascar,31.000
152,Maldives,71.000
153,Middle East & North Africa,66.642
154,Mexico,73.000
155,Marshall Islands,61.000
157,North Macedonia,67.000
158,Mali,39.000
159,Malta,80.000
160,Myanmar,56.000
162,Montenegro,65.000
163,Mongolia,63.000
165,Mozambique,46.000
166,Mauritania,41.000
167,Mauritius,64.000
168,Malawi,47.000
169,Malaysia,75.000
170,North America,82.707
171,Namibia,59.000
173,Niger,34.000
174,Nigeria,41.000
175,Nicaragua,68.000
176,Netherlands,85.000
177,Norway,85.000
178,Nepal,48.000
179,Nauru,52.000
180,New Zealand,85.000
182,Oman,69.000
184,Pakistan,43.000
185,Panama,76.000
186,Peru,77.000
187,Philippines,53.000
188,Palau,58.000
189,Papua New Guinea,36.000
190,Poland,74.000
193,"Korea, Dem. People's Rep.",68.000
194,Portugal,84.000
195,Paraguay,60.000
200,Qatar,72.000
201,Romania,71.000
202,Russian Federation,74.000
203,Rwanda,55.000
204,South Asia,54.100
205,Saudi Arabia,72.000
206,Sudan,44.000
207,Senegal,47.000
208,Singapore,85.000
209,Solomon Islands,49.000
210,Sierra Leone,38.000
211,El Salvador,74.000
212,San Marino,81.000
213,Somalia,27.000
214,Serbia,70.000
216,South Sudan,31.000
217,Sub-Saharan Africa,42.869
219,Sao Tome and Principe,60.000
220,Suriname,68.000
221,Slovak Republic,76.000
222,Slovenia,79.000
223,Sweden,86.000
224,Eswatini,57.000
226,Seychelles,68.000
227,Syrian Arab Republic,56.000
229,Chad,29.000
232,Togo,42.000
233,Thailand,80.000
234,Tajikistan,65.000
235,Turkmenistan,71.000
237,Timor-Leste,50.000
239,Tonga,55.000
242,Trinidad and Tobago,72.000
243,Tunisia,68.000
244,Turkey,77.000
245,Tuvalu,52.000
246,Tanzania,43.000
247,Uganda,48.000
248,Ukraine,70.000
249,Upper middle income,77.000
250,Uruguay,78.000
251,United States,82.000
252,Uzbekistan,69.000
253,St. Vincent and the Grenadines,72.000
254,"Venezuela, RB",69.000
257,Vietnam,68.000
258,Vanuatu,50.000
259,World,65.000
260,Samoa,54.000
262,"Yemen, Rep.",44.000
263,South Africa,66.000
264,Zambia,52.000
265,Zimbabwe,56.000
